rendement,apport_perc,loyer_mensuel,cash_flow_annuel,doit_payer_impot,revenus_annuel,couts_annuel,taux_occupation,cash_a_sortir
0.055,0.15,382.76040000000006,-3030.970071599999,False,4593.1248000000005,7624.094871599999,0.5,44622.72
0.06,0.15,417.5568,-4246.1389872,False,5010.6816,9256.8205872,0.5,44622.72
0.06,0.15,417.5568,-2685.754987199999,False,5010.6816,7696.436587199999,0.5,44622.72
0.065,0.15,452.3532,-3900.9239027999993,False,5428.2384,9329.1623028,0.5,44622.72
0.065,0.15,452.3532,-2340.5399027999993,False,5428.2384,7768.778302799999,0.5,44622.72
0.07,0.15,487.1496,-3555.7088183999986,False,5845.7952000000005,9401.504018399999,0.5,44622.72
0.07,0.15,487.1496,-1995.3248183999985,False,5845.7952000000005,7841.120018399999,0.5,44622.72
0.035,0.2,487.1496,-3549.9488184,False,5845.7952000000005,9395.7440184,1.0,51822.72
0.035,0.2,487.1496,-1990.7168183999993,False,5845.7952000000005,7836.5120184,1.0,51822.72
0.045,0.2,626.3352,-2169.088480799999,False,7516.0224,9685.110880799999,1.0,51822.72
0.045,0.2,626.3352,-609.8564808000001,False,7516.0224,8125.8788808,1.0,51822.72
0.05,0.2,695.928,-1478.6583119999996,False,8351.136,9829.794312,1.0,51822.72
0.05,0.2,695.928,80.5736880000004,False,8351.136,8270.562312,1.0,51822.72
0.055,0.2,765.5208000000001,-788.2281432,False,9186.249600000001,9974.477743200001,1.0,51822.72
0.055,0.2,765.5208000000001,771.0038568,False,9186.249600000001,8415.245743200001,1.0,51822.72
0.06,0.2,835.1136,-97.79797440000038,False,10021.3632,10119.1611744,1.0,51822.72
0.06,0.2,835.1136,1461.4340255999996,False,10021.3632,8559.9291744,1.0,51822.72
0.065,0.2,904.7064,592.632194400001,False,10856.4768,10263.8446056,1.0,51822.72
0.065,0.2,904.7064,2151.864194400001,False,10856.4768,8704.6126056,1.0,51822.72
0.07,0.2,974.2992,1283.0623632000006,False,11691.590400000001,10408.5280368,1.0,51822.72
0.07,0.2,974.2992,2842.2943632000006,False,11691.590400000001,8849.2960368,1.0,51822.72
0.035,0.2,365.36220000000003,-4758.2016138,False,4384.3464,9142.5480138,0.75,51822.72
0.035,0.2,365.36220000000003,-3198.969613799999,False,4384.3464,7583.316013799999,0.75,51822.72
0.045,0.2,469.75140000000005,-3722.5563606000005,False,5637.0168,9359.5731606,0.75,51822.72
0.045,0.2,469.75140000000005,-2163.3243605999996,False,5637.0168,7800.3411606,0.75,51822.72
0.05,0.2,521.946,-3204.7337339999995,False,6263.352000000001,9468.085734,0.75,51822.72
0.05,0.2,521.946,-1645.5017339999995,False,6263.352000000001,7908.853734,0.75,51822.72
0.055,0.2,574.1406000000001,-2686.9111073999993,False,6889.6872,9576.5983074,0.75,51822.72
0.055,0.2,574.1406000000001,-1127.6791074000002,False,6889.6872,8017.366307400001,0.75,51822.72
0.06,0.2,626.3352,-2169.088480799999,False,7516.0224,9685.110880799999,0.75,51822.72
0.06,0.2,626.3352,-609.8564808000001,False,7516.0224,8125.8788808,0.75,51822.72
0.065,0.2,678.5298000000001,-1651.265854199999,False,8142.357600000001,9793.6234542,0.75,51822.72
0.065,0.2,678.5298000000001,-92.03385419999904,False,8142.357600000001,8234.3914542,0.75,51822.72
0.07,0.2,730.7244000000001,-1133.4432275999989,False,8768.6928,9902.1360276,0.75,51822.72
0.07,0.2,730.7244000000001,425.7887723999993,False,8768.6928,8342.904027600001,0.75,51822.72
0.035,0.2,243.5748,-5966.4544092,False,2922.8976000000002,8889.3520092,0.5,51822.72
0.035,0.2,243.5748,-4407.2224092,False,2922.8976000000002,7330.1200092,0.5,51822.72
0.045,0.2,313.1676,-5276.024240399999,False,3758.0112,9034.035440399999,0.5,51822.72
0.045,0.2,313.1676,-3716.7922404,False,3758.0112,7474.8034404,0.5,51822.72
0.05,0.2,347.964,-4930.809156,False,4175.568,9106.377156,0.5,51822.72
